,brand,price,year,mileage
752,Peugeot,9990,2012,104793
753,Ssangyong,10690,2015,55000
754,Fiat,7320,2018,178319
755,SEAT,12490,2016,146891
756,Fiat,7490,2018,135541
757,Hyundai,15990,2015,57000
758,Audi,10990,2013,118988
759,Volkswagen,7990,2013,133303
760,Mercedes,12130,2011,135604
761,Citroen,12990,2018,63534
762,Mazda,11580,2014,144100
763,Ford,17990,2019,64600
764,Fiat,10990,2017,47804
765,Audi,10890,2014,130800
766,Alfa,11790,2016,90300
767,SEAT,11990,2017,93000
768,Peugeot,16990,2019,73266
769,Fiat,15490,2020,4863
770,Ford,13490,2014,147669
771,BMW,32990,2017,50300
772,Abarth,14990,2016,38820
773,Ford,14990,2017,46350
774,Volkswagen,15490,2010,146000
775,Peugeot,5490,2007,87450
776,Mercedes,11490,2007,60700
777,Jeep,37990,2008,142020
778,Volkswagen,8860,2009,143843
779,Citroen,4990,2004,58000
780,Volkswagen,6990,2008,211296
781,Renault,13990,2018,52590
782,Nissan,10990,2011,147261
783,Nissan,9990,2012,127342
784,SEAT,13990,2018,60257
785,Hyundai,15990,2015,159416
786,Ford,15990,2018,21404
787,Volkswagen,13990,2016,84040
788,Kia,24990,2018,65872
789,Abarth,17990,2019,28830
790,Volkswagen,14990,2014,162895
791,Dacia,14390,2018,9800
